#RSS_anchor1, RSS_anchor2, RSS_anchor3, RSS_anchor4
0.09111091323934455,-0.021052529598508132,0.015076176599563482,0.054065610075072594
0.10911005943245611,-0.03985572610658622,0.022355462883153408,0.06300389464508196
0.07540626645613288,-0.03397716705443123,0.03190183257003701,0.0036583676999630927
-0.010666326735459536,-0.012073243201950044,0.038050125118274304,-0.07034216762299318
-0.1005044650581034,0.0113433993764036,0.014509614145423858,-0.0792821295654773
-0.129835132842999,0.03368448807566943,-0.03381652466345619,0.015772786290109083
-0.0843204541688269,0.0489865767442621,-0.0609493675763037,0.0923947662378867
0.006511945758100588,0.02311973568939303,-0.029627648664991364,0.04668116613983501
0.10675463501234476,-0.07462426834220764,0.026481207761080493,-0.0484266228540909
0.17594807607315816,-0.1379204132499392,0.05839794202985236,-0.1073839904817141
0.170161628492446,-0.030007068909352518,0.06486386258201636,-0.08537913421832738
0.08304855994770557,0.13766901231501516,0.053618205327099905,-0.014585269006677988
-0.05224739886953093,0.1919076812996991,0.03308086088833171,0.021779109531353126
-0.18741212466143264,0.11596002888229683,0.006180485100917883,0.00606580950809948
-0.25351861078759375,-0.02345453434123243,-0.026768547965470253,-0.02635815703037812
-0.1740569657623533,-0.16373509800039174,-0.05890008389591124,-0.022280170728083536
0.05633473580897285,-0.24089424955288902,-0.06687345358105717,0.010013808514751317
0.23977428791649735,-0.2104462800856007,-0.04513700001287269,0.03826852447893913
0.243362497542745,-0.03723250201918034,-0.00424441654277641,0.03994040096559873
0.175016382357184,0.17521685738334836,0.03176883907321073,0.029479535901525602
0.11200189255703549,0.2739350349517785,0.04110492134424459,0.02364276978048284
0.07116034629138512,0.18063205376756122,0.029073963866056582,0.025152978034284682
