Count_RSS_1,Mean_RSS_1,Min_RSS_1,Q1_RSS_1,Median_RSS_1,Q3_RSS_1,Max_RSS_1,Mad_RSS_1,Var_RSS_1,Std_RSS_1,Skew_RSS_1,Kurt_RSS_1,Count_RSS_2,Mean_RSS_2,Min_RSS_2,Q1_RSS_2,Median_RSS_2,Q3_RSS_2,Max_RSS_2,Mad_RSS_2,Var_RSS_2,Std_RSS_2,Skew_RSS_2,Kurt_RSS_2,Count_RSS_3,Mean_RSS_3,Min_RSS_3,Q1_RSS_3,Median_RSS_3,Q3_RSS_3,Max_RSS_3,Mad_RSS_3,Var_RSS_3,Std_RSS_3,Skew_RSS_3,Kurt_RSS_3,Count_RSS_4,Mean_RSS_4,Min_RSS_4,Q1_RSS_4,Median_RSS_4,Q3_RSS_4,Max_RSS_4,Mad_RSS_4,Var_RSS_4,Std_RSS_4,Skew_RSS_4,Kurt_RSS_4
27.0,-0.23280485185185182,-0.90476,-0.30952,-0.14286,-0.095238,0.0,0.1591208504801097,0.04680485267313105,0.21634429198185712,-1.669888429947781,2.920706485091868,27.0,-0.08296296296296297,-0.6,-0.2,-0.04,0.04,0.16,0.1402469135802469,0.03445242165242165,0.1856136354162098,-1.0915046580700587,1.2961661725664468,27.0,-0.0776005185185185,-0.61905,-0.28570999999999996,-0.047619,0.14286,0.28570999999999996,0.2074600932784637,0.05793626631502849,0.24069953534443828,-0.5453336969133011,-0.7480996797243877,27.0,0.0888888888888889,-0.8,-0.07500000000000001,0.15,0.32499999999999996,0.5,0.2279835390946502,0.08967948717948718,0.2994653355223058,-1.2856938130107234,1.9370651660202514
26.0,-0.5311338461538461,-0.85714,-0.7619,-0.59524,-0.28570999999999996,-0.14286,0.23020508875739648,0.0634355808246154,0.25186421108330453,0.19354644017112974,-1.7221702286094513,26.0,-0.4169230769230769,-0.88,-0.6,-0.44,-0.2,0.04,0.23230769230769227,0.07887015384615385,0.2808383055178795,-0.06672341678410657,-0.938912631355866,26.0,0.3113553076923077,-0.42857,0.01190475,0.16666999999999998,0.71429,0.85714,0.3519293550295858,0.15895273512310154,0.39868876974790945,-0.02355215619278624,-1.3173176373735918,26.0,0.40769230769230774,-0.25,0.1,0.525,0.65,0.8,0.26804733727810653,0.10133846153846154,0.318337025082634,-0.6571590016674362,-0.8651893979565046
23.0,-0.6625247826086957,-1.0,-0.85714,-0.71429,-0.42857,-0.14286,0.22378196597353495,0.0657415764624506,0.2564012021470465,0.3321725271051666,-1.050682699447624,23.0,-0.32869565217391317,-0.84,-0.44,-0.32,-0.2,-0.04,0.15667296786389417,0.0398482213438735,0.19962019272576986,-0.7864437198845527,0.4730688097739493,23.0,0.488612652173913,-0.14286,0.14286,0.66667,0.7619,0.85714,0.3078585103969754,0.1187829250828735,0.34464898822261686,-0.5778095023971054,-1.267426127578391,23.0,0.4521739130434782,-0.3,0.35,0.45,0.7,0.8,0.232703213610586,0.09738142292490118,0.3120599668731976,-1.1088234994691786,0.9524775626228053
23.0,-0.7204973913043478,-1.0,-0.92857,-0.66667,-0.57143,-0.42857,0.173191606805293,0.042734252020158105,0.20672264515567254,-0.1294203508521141,-1.237218606882299,23.0,-0.4434782608695652,-0.84,-0.56,-0.4,-0.32,-0.08,0.17754253308128543,0.04536916996047429,0.21300039896787587,-0.2654935916715779,-0.6225004572481039,23.0,0.5465843478260868,-0.095238,0.261905,0.71429,0.78571,0.85714,0.27671258979206054,0.1038689063059644,0.3222869936965567,-0.8339793070489798,-0.8485423673593564,23.0,0.4369565217391304,-0.35,0.3,0.55,0.65,0.8,0.2625708884688091,0.11391304347826092,0.33751006426218005,-1.1043735459932815,0.643924441329891
25.0,-0.80381,-1.0,-1.0,-0.90476,-0.66667,-0.47618999999999995,0.18118000000000006,0.039742745658333335,0.1993558267478865,0.40091891920634143,-1.4974854294731943,25.0,-0.4960000000000001,-0.8,-0.56,-0.48,-0.44,-0.16,0.11264000000000003,0.021333333333333333,0.1460593486680443,0.1986982647471203,0.21531373517786667,25.0,0.620952,0.19047999999999998,0.52381,0.71429,0.80952,0.9523799999999999,0.17706672,0.04411937605000001,0.21004612838612383,-0.4660078151093179,-0.8016296601129422,25.0,0.514,0.05,0.35,0.5,0.65,0.9,0.18368,0.04885833333333333,0.22103921220754777,0.054757424759833896,-0.6754416011306921
27.0,-0.7795399999999999,-1.0,-0.9761899999999999,-0.80952,-0.71429,-0.28570999999999996,0.15807703703703704,0.04241214929230768,0.20594210179637307,0.8800193717425453,0.08770394504240331,27.0,-0.43999999999999995,-0.8,-0.56,-0.44,-0.32,-0.08,0.15407407407407414,0.03458461538461539,0.18596939367706555,-0.10664135682557152,-0.6519015716619592,27.0,0.573192962962963,0.19047999999999998,0.45238,0.57143,0.71429,0.85714,0.14658181069958848,0.03043496360626782,0.17445619394641115,-0.4222075472517464,-0.6360103694421211,27.0,0.4925925925925925,-0.6,0.375,0.55,0.65,0.95,0.18449931412894371,0.08436609686609688,0.2904584253660012,-2.0794691145503936,7.144935553773318
26.0,-0.7344323076923074,-1.0,-0.940475,-0.71429,-0.57143,-0.42857,0.182867100591716,0.043387239914461556,0.20829603912331496,0.03630266580561431,-1.460460473331717,26.0,-0.46615384615384625,-0.84,-0.62,-0.44,-0.32,-0.16,0.16662721893491128,0.03954461538461538,0.1988582796481338,-0.42663718244255494,-0.9041509186794938,26.0,0.5970684615384614,0.14286,0.42857,0.57143,0.7619,0.90476,0.19244757396449702,0.04847671167753848,0.22017427569436554,-0.2715460004585826,-1.0197563569859867,26.0,0.4769230769230769,0.05,0.35,0.5,0.6375000000000001,0.8,0.15355029585798816,0.03484615384615384,0.18667124536509055,-0.1806660982892911,-0.3429764712836767
26.0,-0.6593407692307692,-1.0,-0.7619,-0.64286,-0.57143,-0.28570999999999996,0.16849846153846157,0.04475165840738462,0.2115458777839564,-0.06907606409780015,-0.6343843139479781,26.0,-0.44307692307692315,-0.88,-0.56,-0.44,-0.29000000000000004,-0.08,0.15124260355029587,0.03762215384615384,0.19396431075368953,-0.27527950458729644,-0.11582278373768551,26.0,0.5695957692307692,0.28570999999999996,0.42857,0.5,0.7499975000000001,0.9523799999999999,0.18470050295857987,0.04471328108138461,0.21145515146570587,0.37208317331833246,-1.2327568424070812,26.0,0.3923076923076923,-0.05,0.3,0.35,0.5,0.9,0.14940828402366862,0.03973846153846153,0.19934508155071579,0.1883830410214053,0.9873154315653818
25.0,-0.7066664,-1.0,-0.9523799999999999,-0.71429,-0.47618999999999995,-0.2381,0.21424723199999995,0.0611638582073333,0.24731327948036536,0.30815439089071,-1.2937563026510306,25.0,-0.46720000000000006,-0.8,-0.64,-0.48,-0.32,-0.08,0.16473600000000005,0.037296,0.19312172327317298,0.24311378462120267,-0.967244540631591,25.0,0.34666652,-0.095238,0.19047999999999998,0.38095,0.52381,0.71429,0.16411429760000001,0.04242630869092668,0.20597647606201705,-0.5969460228678944,-0.1682936878366319,25.0,0.446,0.05,0.35,0.45,0.55,0.85,0.16448000000000002,0.04581666666666667,0.21404828115793564,-0.006018340678075638,-0.22909183592824567
25.0,-0.06666592000000002,-0.42857,-0.19047999999999998,0.0,0.0,0.19047999999999998,0.1310477376,0.026266084057743333,0.16206814633895006,-0.41215827561738994,-0.33521850150857624,25.0,-0.13600000000000004,-0.76,-0.2,-0.08,0.04,0.04,0.16640000000000008,0.046266666666666685,0.2150968773986891,-1.4515157913825578,1.8314152386479012,25.0,-0.14095256,-0.71429,-0.28570999999999996,-0.14286,0.047619,0.19047999999999998,0.19261073280000002,0.06055988167183999,0.24608917422723006,-0.7120494880039758,0.14281348330757604,25.0,0.066,-0.35,-0.1,0.05,0.2,0.45,0.16463999999999998,0.04431666666666667,0.21051524093677082,0.025946677822501218,-0.5998299927245485
