时间,大小闸,po1,均衡风缸,列车管,po2,预控,闸1,闸2,总风缸
2017-01-23 03:33:29,运转.运转,600,600,1,1,0,1,-1,830
2017-01-23 03:33:34,运转.运转,600,600,0,0,2,0,0,825
2017-01-23 03:33:39,运转.运转,599,599,0,0,2,0,0,819
2017-01-23 03:33:44,运转.运转,600,601,1,1,0,1,0,815
2017-01-23 03:33:49,运转.运转,600,601,1,1,0,1,-1,811
2017-01-23 03:33:54,运转.运转,599,599,1,1,0,1,0,807
2017-01-23 03:33:59,运转.运转,599,600,0,0,2,0,0,803
2017-01-23 03:34:04,运转.运转,600,601,1,1,0,1,-1,799
2017-01-23 03:34:09,运转.运转,599,598,0,0,2,0,0,795
2017-01-23 03:34:14,运转.运转,599,599,0,0,0,0,0,791
2017-01-23 03:34:19,运转.运转,599,600,0,0,1,0,0,787
2017-01-23 03:34:24,运转.运转,600,598,0,0,1,0,0,783
2017-01-23 03:34:29,运转.运转,600,600,0,0,1,0,0,779
2017-01-23 03:34:34,运转.运转,599,600,1,1,0,1,0,784
2017-01-23 03:34:39,运转.运转,600,602,0,0,1,0,0,789
2017-01-23 03:34:44,运转.运转,599,601,1,1,0,1,0,794
2017-01-23 03:34:49,运转.运转,600,603,1,1,0,1,0,799
2017-01-23 03:34:54,运转.运转,600,601,1,1,0,1,0,804
2017-01-23 03:34:59,运转.运转,599,602,0,0,0,0,0,809
2017-01-23 03:35:04,运转.运转,599,602,0,0,2,0,0,814
2017-01-23 03:35:09,运转.运转,599,602,1,1,0,1,-1,819
2017-01-23 03:35:14,运转.运转,600,606,1,1,0,1,-1,824
2017-01-23 03:35:19,运转.运转,600,605,1,1,0,1,0,829
2017-01-23 03:35:24,运转.运转,599,605,1,1,0,1,0,834
2017-01-23 03:35:29,运转.运转,599,603,0,0,0,0,0,830
2017-01-23 03:35:34,运转.运转,599,604,0,0,2,0,0,825
2017-01-23 03:35:39,运转.运转,600,604,0,0,1,0,0,830
2017-01-23 03:35:44,运转.运转,599,603,0,0,1,0,0,825
2017-01-23 03:35:49,运转.运转,599,604,0,0,1,0,0,819
2017-01-23 03:35:54,运转.运转,599,605,1,1,0,1,0,815
2017-01-23 03:35:59,运转.运转,600,605,1,1,0,1,0,811
2017-01-23 03:36:04,运转.运转,600,604,1,1,0,1,-1,807
2017-01-23 03:36:09,运转.运转,599,604,1,1,0,1,-1,803
2017-01-23 03:36:14,运转.运转,600,603,0,0,1,0,0,799
2017-01-23 03:36:19,运转.运转,599,604,1,1,0,1,0,795
2017-01-23 03:36:24,运转.运转,599,605,0,0,2,0,0,791
2017-01-23 03:36:29,运转.运转,599,605,1,1,0,1,-1,787
2017-01-23 03:36:34,运转.运转,599,603,0,0,2,0,0,783
2017-01-23 03:36:39,运转.运转,599,604,0,0,0,0,0,779
2017-01-23 03:36:44,运转.运转,599,604,1,1,0,1,-1,784
2017-01-23 03:36:49,运转.运转,600,603,0,0,2,0,0,789
2017-01-23 03:36:54,运转.运转,600,604,1,1,0,1,-1,794
2017-01-23 03:36:59,运转.运转,600,603,0,0,1,0,0,799
2017-01-23 03:37:04,运转.运转,600,606,1,1,0,1,-1,804
2017-01-23 03:37:09,运转.运转,600,603,0,0,2,0,0,809
2017-01-23 03:37:14,运转.运转,599,604,1,1,0,1,-1,814
2017-01-23 03:37:19,运转.运转,600,604,1,1,0,1,0,819
2017-01-23 03:37:24,运转.运转,600,603,0,0,1,0,0,824
2017-01-23 03:37:29,运转.运转,599,605,1,1,0,1,-1,829
2017-01-23 03:37:34,运转.运转,599,604,0,0,0,0,0,834
2017-01-23 03:37:39,运转.运转,600,605,1,1,0,1,-1,830
2017-01-23 03:37:44,运转.运转,599,605,0,0,1,0,0,825
2017-01-23 03:37:49,运转.运转,599,603,0,0,1,0,0,830
2017-01-23 03:37:54,运转.运转,600,604,1,1,0,1,0,825
2017-01-23 03:37:59,运转.运转,600,603,0,0,0,0,0,819
2017-01-23 03:38:04,运转.运转,600,604,0,0,2,0,0,815
2017-01-23 03:38:09,运转.运转,599,605,0,0,1,0,0,811
2017-01-23 03:38:14,运转.运转,600,605,0,0,0,0,0,807
2017-01-23 03:38:19,运转.运转,599,603,0,0,1,0,0,803
2017-01-23 03:38:24,运转.运转,600,603,0,0,2,0,0,799
2017-01-23 03:38:29,运转.运转,599,605,1,1,0,1,0,795
2017-01-23 03:38:34,运转.运转,599,605,0,0,1,0,0,791
2017-01-23 03:38:39,运转.运转,599,606,1,1,0,1,0,787
2017-01-23 03:38:44,运转.运转,599,602,1,1,0,1,0,783
2017-01-23 03:38:49,运转.运转,600,603,1,1,0,1,0,779
2017-01-23 03:38:54,运转.运转,599,603,1,1,0,1,-1,784
2017-01-23 03:38:59,运转.运转,599,600,0,0,1,0,0,789
2017-01-23 03:39:04,运转.运转,599,602,1,1,0,1,0,794
2017-01-23 03:39:09,运转.运转,600,602,0,0,2,0,0,799
2017-01-23 03:39:14,运转.运转,600,601,0,0,1,0,0,804
2017-01-23 03:39:19,运转.运转,600,603,1,1,0,1,0,809
