时间,大小闸,po1,均衡风缸,列车管,po2,预控,闸1,闸2,总风缸
2013-02-16 12:48:55,运转.运转,600,1,601,1,0,1,0,830
2013-02-16 12:49:00,运转.运转,599,0,599,0,2,0,0,825
2013-02-16 12:49:05,运转.运转,600,1,600,1,0,1,-1,819
2013-02-16 12:49:10,运转.运转,600,0,598,0,0,0,0,815
2013-02-16 12:49:15,运转.运转,600,0,598,0,0,0,0,811
2013-02-16 12:49:20,运转.运转,600,0,598,0,1,0,0,807
2013-02-16 12:49:25,运转.运转,599,1,601,1,0,1,0,803
2013-02-16 12:49:30,运转.运转,600,1,599,1,0,1,0,799
2013-02-16 12:49:35,运转.运转,600,1,601,1,0,1,0,795
2013-02-16 12:49:40,运转.运转,600,0,599,0,0,0,0,791
2013-02-16 12:49:45,运转.运转,600,0,599,0,0,0,0,787
2013-02-16 12:49:50,运转.运转,599,0,598,0,2,0,0,783
2013-02-16 12:49:55,运转.运转,600,0,598,0,1,0,0,779
2013-02-16 12:50:00,运转.运转,600,0,598,0,1,0,0,784
2013-02-16 12:50:05,运转.运转,599,0,599,0,2,0,0,789
2013-02-16 12:50:10,运转.运转,599,0,600,0,0,0,0,794
2013-02-16 12:50:15,运转.运转,600,1,601,1,0,1,0,799
2013-02-16 12:50:20,运转.运转,599,0,599,0,0,0,0,804
2013-02-16 12:50:25,运转.运转,599,1,601,1,0,1,-1,809
2013-02-16 12:50:30,运转.运转,599,0,602,0,2,0,0,814
2013-02-16 12:50:35,运转.运转,599,0,601,0,0,0,0,819
2013-02-16 12:50:40,运转.运转,600,1,601,1,0,1,0,824
2013-02-16 12:50:45,运转.运转,600,0,602,0,1,0,0,829
2013-02-16 12:50:50,运转.运转,599,0,601,0,2,0,0,834
2013-02-16 12:50:55,运转.运转,600,0,600,0,0,0,0,830
2013-02-16 12:51:00,运转.运转,600,1,602,1,0,1,-1,825
2013-02-16 12:51:05,运转.运转,599,1,603,1,0,1,-1,830
2013-02-16 12:51:10,运转.运转,600,0,603,0,1,0,0,825
2013-02-16 12:51:15,运转.运转,600,1,604,1,0,1,-1,819
2013-02-16 12:51:20,运转.运转,600,1,605,1,0,1,-1,815
2013-02-16 12:51:25,运转.运转,600,1,604,1,0,1,-1,811
2013-02-16 12:51:30,运转.运转,600,1,605,1,0,1,-1,807
2013-02-16 12:51:35,运转.运转,599,1,604,1,0,1,-1,803
2013-02-16 12:51:40,运转.运转,599,0,605,0,1,0,0,799
2013-02-16 12:51:45,运转.运转,600,1,606,1,0,1,0,795
2013-02-16 12:51:50,运转.运转,599,0,604,0,0,0,0,791
