时间,大小闸,po1,均衡风缸,列车管,po2,预控,闸1,闸2,总风缸
2015-06-08 10:45:52,运转.运转,599,0,599,0,2,0,0,830
2015-06-08 10:45:57,运转.运转,600,1,601,1,0,1,-1,825
2015-06-08 10:46:02,运转.运转,600,0,600,0,1,0,0,819
2015-06-08 10:46:07,运转.运转,600,0,599,0,0,0,0,815
2015-06-08 10:46:12,运转.运转,599,0,599,0,1,0,0,811
2015-06-08 10:46:17,运转.运转,599,1,599,1,0,1,-1,807
2015-06-08 10:46:22,运转.运转,600,1,601,1,0,1,-1,803
2015-06-08 10:46:27,运转.运转,599,1,601,1,0,1,-1,799
2015-06-08 10:46:32,运转.运转,599,1,600,1,0,1,-1,795
2015-06-08 10:46:37,运转.运转,599,0,599,0,1,0,0,791
2015-06-08 10:46:42,运转.运转,600,1,599,1,0,1,0,787
2015-06-08 10:46:47,运转.运转,600,0,598,0,2,0,0,783
2015-06-08 10:46:52,运转.运转,600,0,598,0,0,0,0,779
2015-06-08 10:46:57,运转.运转,599,1,601,1,0,1,0,784
2015-06-08 10:47:02,运转.运转,599,1,601,1,0,1,-1,789
2015-06-08 10:47:07,运转.运转,599,1,601,1,0,1,-1,794
2015-06-08 10:47:12,运转.运转,600,1,599,1,0,1,0,799
2015-06-08 10:47:17,运转.运转,600,0,600,0,0,0,0,804
2015-06-08 10:47:22,运转.运转,600,1,601,1,0,1,0,809
2015-06-08 10:47:27,运转.运转,599,1,601,1,0,1,0,814
2015-06-08 10:47:32,运转.运转,599,1,599,1,0,1,-1,819
2015-06-08 10:47:37,运转.运转,599,0,601,0,2,0,0,824
2015-06-08 10:47:42,运转.运转,600,0,602,0,2,0,0,829
2015-06-08 10:47:47,运转.运转,599,1,602,1,0,1,0,834
2015-06-08 10:47:52,运转.运转,600,0,602,0,2,0,0,830
2015-06-08 10:47:57,运转.运转,599,1,601,1,0,1,-1,825
2015-06-08 10:48:02,运转.运转,599,1,601,1,0,1,-1,830
2015-06-08 10:48:07,运转.运转,600,0,602,0,1,0,0,825
2015-06-08 10:48:12,运转.运转,600,0,600,0,1,0,0,819
2015-06-08 10:48:17,运转.运转,599,0,602,0,0,0,0,815
2015-06-08 10:48:22,运转.运转,599,0,601,0,1,0,0,811
2015-06-08 10:48:27,运转.运转,600,1,601,1,0,1,0,807
2015-06-08 10:48:32,运转.运转,600,1,604,1,0,1,0,803
2015-06-08 10:48:37,运转.运转,600,0,604,0,0,0,0,799
2015-06-08 10:48:42,运转.运转,600,1,605,1,0,1,0,795
2015-06-08 10:48:47,运转.运转,600,1,605,1,0,1,0,791
2015-06-08 10:48:52,运转.运转,599,0,604,0,1,0,0,787
2015-06-08 10:48:57,运转.运转,599,0,604,0,0,0,0,783
2015-06-08 10:49:02,运转.运转,600,1,605,1,0,1,0,779
2015-06-08 10:49:07,运转.运转,600,0,603,0,1,0,0,784
2015-06-08 10:49:12,运转.运转,599,1,604,1,0,1,-1,789
2015-06-08 10:49:17,运转.运转,600,1,604,1,0,1,-1,794
2015-06-08 10:49:22,运转.运转,599,1,605,1,0,1,0,799
2015-06-08 10:49:27,运转.运转,600,1,606,1,0,1,-1,804
2015-06-08 10:49:32,运转.运转,600,0,604,0,2,0,0,809
2015-06-08 10:49:37,运转.运转,600,1,606,1,0,1,0,814
2015-06-08 10:49:42,运转.运转,599,1,604,1,0,1,-1,819
2015-06-08 10:49:47,运转.运转,599,0,604,0,2,0,0,824
2015-06-08 10:49:52,运转.运转,599,1,606,1,0,1,-1,829
2015-06-08 10:49:57,运转.运转,599,1,606,1,0,1,0,834
2015-06-08 10:50:02,运转.运转,600,1,605,1,0,1,0,830
2015-06-08 10:50:07,运转.运转,600,0,605,0,1,0,0,825
2015-06-08 10:50:12,运转.运转,600,0,605,0,0,0,0,830
2015-06-08 10:50:17,运转.运转,599,1,604,1,0,1,0,825
2015-06-08 10:50:22,运转.运转,600,1,605,1,0,1,0,819
2015-06-08 10:50:27,运转.运转,599,0,603,0,1,0,0,815
2015-06-08 10:50:32,运转.运转,600,0,604,0,0,0,0,811
2015-06-08 10:50:37,运转.运转,600,0,603,0,2,0,0,807
2015-06-08 10:50:42,运转.运转,599,1,605,1,0,1,-1,803
2015-06-08 10:50:47,运转.运转,599,1,605,1,0,1,-1,799
2015-06-08 10:50:52,运转.运转,600,1,606,1,0,1,0,795
2015-06-08 10:50:57,运转.运转,599,0,603,0,1,0,0,791
2015-06-08 10:51:02,运转.运转,599,1,604,1,0,1,0,787
2015-06-08 10:51:07,运转.运转,599,1,605,1,0,1,-1,783
2015-06-08 10:51:12,运转.运转,599,0,603,0,2,0,0,779
2015-06-08 10:51:17,运转.运转,600,0,605,0,0,0,0,784
2015-06-08 10:51:22,运转.运转,600,1,606,1,0,1,-1,789
2015-06-08 10:51:27,运转.运转,600,0,605,0,2,0,0,794
2015-06-08 10:51:32,运转.运转,600,0,603,0,0,0,0,799
2015-06-08 10:51:37,运转.运转,600,0,603,0,0,0,0,804
2015-06-08 10:51:42,运转.运转,600,0,604,0,2,0,0,809
2015-06-08 10:51:47,运转.运转,599,1,604,1,0,1,-1,814
2015-06-08 10:51:52,运转.运转,599,0,604,0,1,0,0,819
2015-06-08 10:51:57,运转.运转,599,1,606,1,0,1,-1,824
2015-06-08 10:52:02,运转.运转,599,0,604,0,1,0,0,829
2015-06-08 10:52:07,运转.运转,600,1,604,1,0,1,-1,834
2015-06-08 10:52:12,运转.运转,599,0,603,0,2,0,0,830
2015-06-08 10:52:17,运转.运转,600,0,603,0,0,0,0,825
2015-06-08 10:52:22,运转.运转,600,0,605,0,0,0,0,830
2015-06-08 10:52:27,运转.运转,599,0,605,0,2,0,0,825
2015-06-08 10:52:32,运转.运转,599,0,603,0,2,0,0,819
2015-06-08 10:52:37,运转.运转,599,1,606,1,0,1,-1,815
2015-06-08 10:52:42,运转.运转,599,0,603,0,0,0,0,811
2015-06-08 10:52:47,运转.运转,600,0,604,0,0,0,0,807
2015-06-08 10:52:52,运转.运转,600,1,605,1,0,1,0,803
2015-06-08 10:52:57,运转.运转,599,1,606,1,0,1,-1,799
2015-06-08 10:53:02,运转.运转,599,0,604,0,2,0,0,795
2015-06-08 10:53:07,运转.运转,600,1,605,1,0,1,0,791
2015-06-08 10:53:12,运转.运转,599,1,604,1,0,1,-1,787
2015-06-08 10:53:17,运转.运转,599,0,605,0,0,0,0,783
2015-06-08 10:53:22,运转.运转,599,1,605,1,0,1,-1,779
2015-06-08 10:53:27,运转.运转,600,0,603,0,1,0,0,784
2015-06-08 10:53:32,运转.运转,599,1,606,1,0,1,-1,789
2015-06-08 10:53:37,运转.运转,600,1,605,1,0,1,0,794
2015-06-08 10:53:42,运转.运转,600,1,606,1,0,1,-1,799
2015-06-08 10:53:47,运转.运转,599,0,603,0,2,0,0,804
2015-06-08 10:53:52,运转.运转,599,1,604,1,0,1,-1,809
2015-06-08 10:53:57,运转.运转,599,1,606,1,0,1,-1,814
2015-06-08 10:54:02,运转.运转,600,1,606,1,0,1,0,819
2015-06-08 10:54:07,运转.运转,599,1,604,1,0,1,0,824
2015-06-08 10:54:12,运转.运转,600,1,604,1,0,1,0,829
2015-06-08 10:54:17,运转.运转,599,1,606,1,0,1,-1,834
2015-06-08 10:54:22,运转.运转,599,1,606,1,0,1,0,830
2015-06-08 10:54:27,运转.运转,599,0,604,0,0,0,0,825
2015-06-08 10:54:32,运转.运转,600,0,604,0,2,0,0,830
2015-06-08 10:54:37,运转.运转,599,1,604,1,0,1,-1,825
2015-06-08 10:54:42,运转.运转,600,1,605,1,0,1,-1,819
2015-06-08 10:54:47,运转.运转,599,0,603,0,2,0,0,815
